City,Year,Latitude,Longitude,Historical_Event_Count,Frequency_Past_EQ,Average_Magnitude,Time_Since_Last_Event,Nearby_Fault_Activity,Seismic_Zone,Proximity_to_Fault_Line_km,Soil_Type,Depth_km,Magnitude,Predicted_Hazard_Level,Building_Type,Building_Age_Years,Building_Material,Population_Density,Predicted_Damage_Level,Estimated_Damage_Percent,Average_Building_Value_INR,Number_of_Structures,Insurance_Coverage,Estimated_Financial_Loss_INR,Estimated_Insurance_Recovery_INR,Net_Economic_Impact_INR,Risk_Propensity_Score,Hazard_Scenario_Type,Disaster_Preparedness_Index,Infrastructure_Density,Economic_Resilience_Score,Time_to_Recovery_Days
Niigata,1843,40.4927,132.0753,15,4.88,5.81,29,High,III,2.05,Rocky,30.9,5.7,High,High-rise,58,Wood,Low,Low,11.67,2242186.43,126,Partial,32969557.7,16484778.85,16484778.85,0.17,Likely,0.49,34.74,0.15,663
Osaka,1921,32.3466,133.7536,47,1.0,7.27,0,Low,V,47.74,Rocky,53.0,6.2,High,High-rise,22,Wood,Medium,High,67.05,3338090.26,163,None,364824891.65,0.0,364824891.65,0.42,Likely,0.78,1.71,0.2,98
Sendai,1576,31.4124,134.6712,61,3.55,5.66,89,Moderate,III,38.17,Stiff,57.4,5.4,High,School,94,Concrete,Medium,High,60.23,3354887.29,767,Partial,1549837487.53,774918743.765,774918743.765,0.67,Likely,0.14,19.36,0.66,471
Niigata,1663,37.5156,138.0907,3,3.12,7.3,1,Moderate,III,1.33,Rocky,43.1,7.8,Moderate,Commercial,24,Brick,Medium,Low,62.56,29094985.04,554,Full,10083809743.13,10083809743.13,0.0,0.51,Likely,0.59,47.13,0.45,446
Fukuoka,1650,39.7723,133.1003,28,0.44,4.35,1,Low,III,1.95,Rocky,45.2,5.3,Moderate,Hospital,90,Wood,Medium,Moderate,32.11,42398890.24,611,None,8318327313.86,0.0,8318327313.86,0.41,Worst case,0.33,25.31,0.72,655
Kobe,1891,39.4341,143.1621,35,2.15,7.39,35,High,II,8.87,Stiff,53.8,7.2,Low,Hospital,49,Concrete,High,Moderate,67.19,7256796.74,105,None,511963381.61,0.0,511963381.61,0.41,Best case,0.94,43.06,0.49,554
Osaka,1572,41.0986,133.5735,29,4.52,5.77,88,Low,II,16.0,Rocky,63.2,5.6,High,Commercial,12,Wood,High,High,86.48,42510014.06,274,None,10072968883.59,0.0,10072968883.59,0.39,Best case,0.96,47.58,0.62,396
Niigata,1928,31.2493,131.3756,11,1.71,6.35,99,Moderate,IV,47.31,Rocky,55.8,4.5,Low,Commercial,53,Concrete,Low,Moderate,47.03,3820379.24,232,Full,416840050.72,416840050.72,0.0,0.15,Best case,0.76,27.75,0.74,617
Hiroshima,1666,40.3205,142.5545,16,0.6,4.29,12,Moderate,II,11.13,Rocky,30.8,7.6,Moderate,Commercial,66,Brick,Low,Low,11.91,5157047.99,348,Partial,213743136.63,106871568.315,106871568.315,0.62,Worst case,0.88,44.14,0.31,356
Osaka,1984,44.79,141.3007,69,3.57,5.69,53,High,IV,35.25,Rocky,21.2,5.3,Low,Commercial,67,Mixed,High,High,26.56,20854902.25,647,Partial,3583773138.33,1791886569.165,1791886569.165,0.15,Best case,0.21,6.76,0.68,30
Sendai,1599,40.2156,133.5626,62,2.44,4.29,32,Moderate,V,11.18,Soft,67.6,4.0,Low,Commercial,32,Concrete,High,High,52.26,16811633.03,89,None,781932588.51,0.0,781932588.51,0.57,Best case,0.99,4.62,0.6,561
Yokohama,1885,31.1315,132.4932,48,3.51,5.59,53,High,V,29.22,Soft,63.6,4.2,Moderate,Commercial,12,Concrete,Low,Moderate,86.49,3835330.99,367,Partial,1217404242.78,608702121.39,608702121.39,0.51,Likely,0.66,14.59,0.27,119
Hiroshima,1726,35.824,133.4409,27,0.48,7.41,63,Low,V,22.66,Soft,7.1,5.1,High,High-rise,84,Wood,Low,High,56.24,14276924.48,918,Full,7370936256.69,7370936256.69,0.0,0.92,Best case,0.84,47.54,0.75,479
Nagoya,1685,31.2412,143.1499,4,0.23,5.32,64,Moderate,V,24.02,Rocky,69.0,5.5,High,Commercial,26,Mixed,Medium,High,37.38,48525805.49,804,Partial,14583712658.1,7291856329.05,7291856329.05,0.61,Best case,0.16,2.8,0.22,434
Nagoya,1969,30.8456,142.9708,80,2.72,6.62,2,Moderate,V,27.77,Stiff,55.0,7.8,Moderate,School,74,Mixed,Low,Moderate,37.12,12813156.78,466,None,2216409609.28,0.0,2216409609.28,0.22,Best case,0.96,30.7,0.31,517
Sapporo,1549,39.2719,135.3724,71,0.21,5.74,53,Low,II,38.62,Stiff,38.8,7.4,Moderate,Commercial,54,Mixed,Medium,Moderate,87.28,5332002.94,772,Full,3592712112.18,3592712112.18,0.0,0.46,Likely,0.22,2.41,0.78,607
Fukuoka,1743,42.0757,143.5473,63,0.17,5.23,97,High,III,31.83,Soft,41.1,4.4,Moderate,School,98,Steel,High,Low,34.6,26185484.97,993,None,8996756555.02,0.0,8996756555.02,0.92,Best case,0.37,26.66,0.73,167
Tokyo,1582,43.8988,137.3817,83,2.35,7.43,52,Low,II,17.37,Rocky,18.6,6.3,Moderate,High-rise,75,Mixed,Medium,High,11.45,7315106.37,192,None,160815298.44,0.0,160815298.44,0.63,Best case,0.46,35.19,0.26,725
Sendai,1676,36.1749,143.1148,26,3.37,4.6,50,Low,V,2.04,Stiff,16.0,5.1,Moderate,School,61,Steel,Medium,Moderate,7.7,27887050.15,654,Full,1404336071.45,1404336071.45,0.0,0.51,Likely,0.29,18.85,0.55,102
Nagoya,1998,31.3844,137.2172,85,0.5,7.06,62,Moderate,III,18.86,Stiff,5.2,7.5,High,School,8,Mixed,Low,Low,68.6,10041529.95,728,None,5014820389.27,0.0,5014820389.27,0.58,Likely,0.93,12.57,0.78,107
Kobe,1736,36.938,141.2121,13,0.82,4.47,2,High,III,44.76,Soft,38.3,6.1,High,Commercial,18,Concrete,High,Low,43.03,27098246.06,24,None,279849006.71,0.0,279849006.71,0.19,Best case,0.76,9.93,0.61,302
Fukuoka,1626,33.1717,134.9125,43,1.24,5.2,24,Low,V,33.96,Stiff,56.3,6.0,Moderate,Commercial,86,Wood,Medium,Low,54.88,37526534.24,378,Full,7784744432.56,7784744432.56,0.0,0.61,Worst case,0.44,17.53,0.91,349
Osaka,1615,38.5617,135.3415,69,3.07,4.83,21,Moderate,II,11.27,Soft,28.7,6.0,High,Residential,94,Wood,Low,High,20.86,14969663.27,616,None,1923565803.0,0.0,1923565803.0,0.15,Best case,0.86,3.53,0.12,258
Tokyo,1750,44.7357,131.6806,65,2.92,7.21,78,Low,IV,40.85,Soft,21.8,4.7,Low,Commercial,51,Wood,Medium,High,74.77,36204406.27,724,Full,19598705027.29,19598705027.29,0.0,0.61,Worst case,0.35,38.71,0.27,147
Nagoya,2011,40.6643,132.9926,19,1.29,4.4,89,Low,V,38.39,Rocky,10.7,6.0,Low,High-rise,77,Mixed,Medium,Low,50.27,3539353.3,699,Full,1243683799.83,1243683799.83,0.0,0.51,Worst case,0.59,27.9,0.28,197
Tokyo,1596,42.1481,133.8196,72,3.83,6.08,23,Low,III,30.31,Soft,56.6,4.4,Moderate,Hospital,69,Mixed,High,Moderate,75.6,48286318.62,343,Partial,12521028708.71,6260514354.355,6260514354.355,0.94,Best case,0.99,11.05,0.44,542
Osaka,1900,41.1168,138.6171,63,3.93,6.9,13,Low,II,39.98,Stiff,58.6,4.7,High,Hospital,83,Concrete,Low,Moderate,61.54,26630205.81,141,Full,2310740240.42,2310740240.42,0.0,0.38,Likely,0.63,34.47,0.51,645
Sapporo,1958,35.6542,136.9402,37,2.74,5.54,96,Low,V,11.61,Stiff,63.5,5.5,Low,High-rise,78,Concrete,Low,High,10.66,12222244.16,48,Partial,62538778.92,31269389.46,31269389.46,0.21,Best case,0.95,31.76,0.4,477
Hiroshima,1657,32.501,143.1794,32,2.71,7.13,35,Low,III,49.88,Soft,53.9,6.8,Moderate,Commercial,27,Mixed,Low,Moderate,68.24,2643089.3,607,Full,1094811991.96,1094811991.96,0.0,0.74,Best case,0.54,37.98,0.19,188
Kobe,1728,35.6823,136.855,51,2.05,6.79,4,High,V,24.32,Soft,31.6,7.1,High,Hospital,27,Steel,High,Moderate,59.5,35003473.78,301,Full,6268947136.63,6268947136.63,0.0,0.74,Best case,0.64,41.51,0.96,579
Niigata,1652,33.4103,136.354,89,4.74,4.54,12,Moderate,III,6.96,Soft,11.6,5.0,Moderate,School,60,Wood,High,Low,55.4,6008420.55,333,Full,1108445439.91,1108445439.91,0.0,0.81,Worst case,0.12,32.92,0.79,407
Hiroshima,1626,31.0338,131.1598,77,4.68,7.24,22,High,IV,6.14,Soft,20.3,4.7,Low,Commercial,36,Mixed,Medium,High,15.6,46121252.25,840,Full,6043728894.84,6043728894.84,0.0,0.38,Best case,0.3,30.79,0.44,338
Tokyo,1608,35.028,142.0428,25,1.73,5.39,24,High,V,43.18,Soft,65.0,5.9,Moderate,High-rise,91,Wood,High,Moderate,67.69,23158679.1,948,Full,14860952168.88,14860952168.88,0.0,0.13,Worst case,0.92,13.16,0.62,209
Osaka,1964,36.2839,143.7227,48,3.92,4.97,25,Moderate,IV,0.65,Stiff,48.1,4.7,Low,High-rise,84,Wood,Low,Moderate,44.01,28307963.08,351,Partial,4372875427.58,2186437713.79,2186437713.79,0.18,Best case,1.0,25.61,0.64,170
Osaka,1858,35.9598,136.4018,55,4.5,4.72,28,Low,IV,31.25,Stiff,29.6,7.3,Moderate,Hospital,19,Brick,Medium,High,10.59,39000853.22,184,None,759955025.5,0.0,759955025.5,0.57,Likely,0.58,24.57,0.55,673
Hiroshima,1798,32.7289,142.9268,2,1.93,4.95,33,Moderate,IV,20.44,Rocky,6.7,4.6,High,High-rise,50,Brick,Low,High,78.69,20991240.27,322,None,5318798243.85,0.0,5318798243.85,0.3,Worst case,0.31,33.92,0.12,83
Fukuoka,1726,35.0891,138.5417,50,3.3,4.83,33,Low,II,40.27,Rocky,69.3,6.4,High,School,46,Wood,Low,Low,75.57,20461992.95,174,Full,2690584284.58,2690584284.58,0.0,0.23,Best case,0.47,16.88,0.18,359
Fukuoka,1893,31.2826,133.1183,18,0.7,7.07,28,Moderate,III,21.07,Soft,63.0,7.3,Moderate,Residential,20,Wood,Medium,High,33.55,41430259.24,716,Partial,9952294014.11,4976147007.055,4976147007.055,0.63,Worst case,0.34,31.58,0.47,255
Sapporo,1970,42.916,133.2927,85,3.92,4.4,29,Low,III,24.37,Stiff,63.1,7.2,High,Residential,81,Steel,Low,Low,46.21,26110425.14,530,Partial,6394782552.31,3197391276.155,3197391276.155,0.59,Likely,0.67,13.64,0.23,264
Hiroshima,1716,36.3256,131.9841,28,0.94,4.95,74,High,II,41.13,Rocky,39.4,7.3,Moderate,Commercial,41,Steel,Medium,High,28.29,28154722.12,162,Partial,1290325283.82,645162641.91,645162641.91,0.55,Likely,0.75,6.22,0.23,56
Sendai,1740,43.5003,143.1084,39,1.33,6.22,52,High,III,8.77,Stiff,64.4,5.7,Low,Commercial,92,Brick,High,High,70.53,21679766.92,139,None,2125412805.61,0.0,2125412805.61,0.25,Best case,0.76,5.06,0.64,58
Niigata,1555,35.8394,134.3304,35,3.62,5.04,98,Moderate,III,47.47,Soft,30.8,7.8,Low,Commercial,22,Mixed,Medium,High,67.27,11532078.55,557,Full,4320999487.01,4320999487.01,0.0,0.59,Worst case,0.25,42.23,0.86,536
Fukuoka,1584,38.9526,135.0137,25,2.42,5.21,39,Low,II,36.41,Stiff,37.2,6.8,High,Commercial,42,Steel,Low,Moderate,44.07,4720737.11,507,Full,1054777424.1,1054777424.1,0.0,0.82,Best case,0.73,14.34,0.63,304
Nagoya,1601,34.7189,142.1115,48,0.77,7.33,54,Moderate,II,26.07,Stiff,10.6,7.8,Low,Residential,83,Concrete,Low,Low,67.24,40521496.25,736,Full,20053537401.78,20053537401.78,0.0,0.75,Best case,0.67,49.05,0.91,297
Niigata,1565,33.3181,144.815,25,0.29,6.47,70,High,II,49.97,Soft,41.1,5.9,Low,High-rise,7,Brick,High,Low,7.89,35173593.1,146,Partial,405178688.36,202589344.18,202589344.18,0.27,Best case,0.2,21.67,0.82,252
Nagoya,1878,42.9306,142.6682,17,2.66,6.26,13,Low,III,29.81,Stiff,20.0,4.5,Low,School,98,Mixed,Low,High,80.22,26982991.5,995,None,21537527002.39,0.0,21537527002.39,0.75,Likely,0.16,16.45,0.59,378
Nagoya,1820,39.9248,141.0678,32,4.44,6.16,65,High,III,1.22,Soft,61.6,4.1,Low,Commercial,13,Concrete,High,Moderate,49.96,47014317.23,748,Full,17569287960.3,17569287960.3,0.0,0.16,Likely,0.11,3.58,0.18,347
Nagoya,1754,37.1981,139.4126,55,1.43,5.39,29,High,V,20.89,Soft,32.4,7.0,Moderate,School,94,Mixed,Low,Moderate,5.28,23898227.56,385,Partial,485803169.84,242901584.92,242901584.92,0.36,Best case,0.37,12.45,0.14,614
Sapporo,1813,31.642,135.8745,67,1.17,7.32,60,Moderate,III,12.95,Stiff,43.3,7.9,Moderate,Hospital,63,Steel,Low,Low,85.3,23902674.05,854,Partial,17412189743.81,8706094871.905,8706094871.905,0.99,Worst case,0.77,4.18,0.46,604
Sendai,1827,33.4585,142.4596,73,0.33,5.34,40,Low,IV,9.32,Stiff,55.7,5.4,Moderate,Hospital,5,Mixed,Medium,Moderate,58.53,11599877.13,530,Full,3598386284.62,3598386284.62,0.0,0.93,Best case,1.0,9.52,0.46,719
Fukuoka,1954,37.3678,144.945,2,4.1,4.79,88,High,V,29.65,Stiff,42.7,4.4,Low,Residential,56,Concrete,Low,Low,27.58,7346231.14,658,Full,1333167580.86,1333167580.86,0.0,0.14,Worst case,0.87,2.74,0.4,566
Hiroshima,1539,38.2629,131.3048,87,1.34,4.02,4,Moderate,IV,2.44,Stiff,39.6,7.8,Low,Residential,48,Brick,High,Low,63.08,4730412.12,602,Partial,1796334267.11,898167133.555,898167133.555,0.16,Likely,0.89,26.29,0.92,352
Niigata,1561,35.2171,140.1702,90,4.34,6.57,87,Moderate,V,39.87,Rocky,47.8,7.4,Moderate,Hospital,59,Mixed,Low,Low,18.63,17366435.06,566,None,1831217638.05,0.0,1831217638.05,0.73,Best case,0.71,31.31,0.78,36
Sapporo,1903,43.2246,144.4197,30,4.15,4.45,52,Low,V,37.18,Rocky,15.4,7.3,High,Residential,78,Wood,Medium,Moderate,69.31,13675728.2,971,Partial,9203766446.17,4601883223.085,4601883223.085,0.36,Best case,0.66,49.08,0.67,252
Yokohama,1657,35.6504,130.1361,34,0.73,4.99,70,Low,III,27.06,Stiff,67.6,5.4,Low,High-rise,60,Steel,Medium,High,20.26,37931242.87,287,Partial,2205557634.17,1102778817.085,1102778817.085,0.94,Likely,0.72,4.32,0.37,46
Niigata,1680,41.5648,140.6286,64,0.38,4.26,81,Low,V,43.58,Stiff,68.3,7.9,Low,School,36,Steel,High,High,60.04,30125397.1,469,Partial,8482938268.44,4241469134.22,4241469134.22,0.12,Likely,0.12,16.86,0.54,488
Yokohama,1605,40.2494,136.6885,45,2.4,7.31,98,Low,III,22.57,Soft,15.6,7.2,High,Commercial,29,Mixed,Medium,Moderate,30.36,42157411.07,696,Full,8908097040.59,8908097040.59,0.0,0.71,Best case,0.69,14.39,0.96,469
Hiroshima,1636,36.485,144.1542,79,4.3,7.38,18,Low,IV,13.71,Stiff,69.0,5.6,Moderate,Residential,38,Brick,High,Moderate,24.55,11442130.5,841,Partial,2362405194.75,1181202597.375,1181202597.375,0.88,Likely,0.74,28.57,0.52,568
Niigata,1755,44.5229,132.7829,16,0.55,4.54,26,Low,III,42.24,Stiff,54.5,6.5,Moderate,High-rise,64,Mixed,Low,High,30.0,45679965.71,387,Full,5303444018.93,5303444018.93,0.0,0.65,Likely,0.82,24.59,0.21,302
Fukuoka,1563,39.1096,133.7131,8,1.08,5.72,62,Low,II,32.58,Soft,26.2,6.4,Moderate,High-rise,72,Brick,Medium,Moderate,31.38,23305787.31,81,None,592381840.69,0.0,592381840.69,0.52,Likely,0.71,20.38,0.98,195
Niigata,1597,34.3749,140.4247,32,4.77,7.18,10,High,III,24.03,Rocky,11.8,5.0,Low,Residential,46,Mixed,High,High,17.11,25445519.52,95,None,413604197.04,0.0,413604197.04,0.29,Worst case,0.41,39.01,0.95,31
Tokyo,1791,38.0136,143.238,29,0.26,4.28,21,Moderate,II,16.1,Rocky,68.5,4.8,High,Residential,15,Brick,Low,Moderate,22.01,9206646.53,314,None,636284230.99,0.0,636284230.99,0.96,Best case,0.21,44.91,0.64,102
Sendai,1946,30.7796,138.1194,75,4.37,6.5,61,High,IV,39.17,Stiff,44.8,5.9,Low,Commercial,75,Brick,Medium,Low,81.06,27832026.43,323,Partial,7287086921.6,3643543460.8,3643543460.8,0.81,Best case,0.53,3.0,0.25,43
Sendai,1649,31.2244,130.9053,86,3.29,5.68,18,Moderate,V,48.79,Rocky,26.9,4.7,Moderate,Commercial,53,Brick,Medium,Low,60.99,25411590.11,603,None,9345612871.28,0.0,9345612871.28,0.12,Worst case,0.69,17.28,0.59,88
Sendai,1733,39.7549,132.9931,34,1.18,5.46,78,Moderate,V,12.88,Soft,35.1,7.5,Low,Hospital,31,Steel,Low,High,40.35,42466019.31,814,Full,13947921576.35,13947921576.35,0.0,0.41,Best case,0.43,49.39,0.14,718
Yokohama,1959,37.7099,138.8209,97,2.48,7.06,33,Moderate,IV,39.65,Soft,47.6,8.0,Low,Hospital,58,Brick,Medium,Moderate,82.55,11322447.26,246,None,2299283332.43,0.0,2299283332.43,0.52,Best case,0.85,12.55,0.8,129
Tokyo,2021,43.6355,132.6952,43,1.93,5.79,36,High,II,42.72,Rocky,37.0,5.0,Low,Residential,60,Mixed,Low,Moderate,39.43,30053001.59,240,Full,2843975646.46,2843975646.46,0.0,0.42,Worst case,0.63,9.01,0.45,57
Sendai,1758,33.872,139.851,64,3.89,4.46,44,Low,IV,11.85,Soft,20.3,7.5,Moderate,Residential,14,Concrete,Medium,High,33.13,22990101.12,853,Partial,6496977287.4,3248488643.7,3248488643.7,0.85,Worst case,0.49,13.19,0.66,542
Tokyo,1905,33.7879,135.3888,27,0.28,6.58,75,Low,III,23.73,Rocky,59.9,7.2,Low,School,28,Steel,High,High,78.46,28348872.23,260,Partial,5783056539.43,2891528269.715,2891528269.715,0.2,Worst case,0.34,3.8,0.58,49
Niigata,1664,30.7755,139.6,34,2.32,7.27,68,Moderate,III,5.17,Stiff,43.0,6.8,High,School,20,Mixed,High,High,88.86,48290816.13,820,Partial,35187199754.76,17593599877.38,17593599877.38,0.12,Best case,0.39,48.68,0.62,213
Tokyo,1925,37.7339,137.3327,43,2.71,4.44,44,Moderate,IV,7.18,Stiff,66.1,6.9,High,Hospital,8,Concrete,High,Moderate,87.44,5601135.07,785,None,3844641516.59,0.0,3844641516.59,0.24,Best case,0.31,48.2,0.33,222
Niigata,1966,42.5717,144.1692,73,0.19,4.85,25,Low,II,43.45,Soft,42.1,4.1,High,Commercial,72,Wood,Medium,Low,72.62,46015212.05,10,Partial,334162469.91,167081234.955,167081234.955,0.29,Worst case,0.69,20.3,0.69,631
Sendai,1565,35.2286,132.3893,63,0.34,7.42,40,Moderate,III,49.67,Soft,53.9,4.4,Low,Residential,31,Wood,Low,Low,67.77,44047262.5,390,None,11641823620.54,0.0,11641823620.54,0.79,Likely,0.93,22.47,0.91,426
Sendai,1841,41.9672,136.5337,74,1.94,5.04,70,High,V,0.29,Soft,26.1,5.5,Moderate,High-rise,71,Steel,High,High,52.89,19640565.51,614,None,6378167590.32,0.0,6378167590.32,0.5,Worst case,0.31,19.29,0.3,296
Sapporo,1534,39.0517,140.0232,73,3.82,5.75,84,High,IV,43.17,Stiff,38.7,5.9,Moderate,Residential,93,Mixed,Low,Moderate,34.01,19629585.32,313,None,2089594875.77,0.0,2089594875.77,0.62,Best case,0.58,30.79,0.79,355
Kobe,1530,41.2031,140.7324,42,0.19,4.69,79,Low,IV,32.37,Soft,63.4,5.0,Moderate,Residential,75,Mixed,High,Moderate,37.31,10660552.2,150,Partial,596617803.87,298308901.935,298308901.935,0.42,Best case,0.19,24.81,0.33,593
Fukuoka,1604,40.0514,143.9441,27,2.74,5.09,35,Low,V,35.88,Rocky,31.0,7.9,Moderate,Commercial,90,Concrete,High,Low,15.36,9876318.13,360,Partial,546120887.32,273060443.66,273060443.66,0.87,Likely,0.82,10.04,0.37,270
Sendai,1644,38.5097,133.8484,35,2.18,4.3,53,Low,V,27.51,Soft,7.8,6.5,Moderate,Commercial,13,Brick,High,Moderate,56.14,41140254.11,735,Full,16975661913.16,16975661913.16,0.0,0.63,Best case,0.81,32.68,0.26,662
Yokohama,1716,42.5979,143.5003,79,2.83,4.89,67,Moderate,IV,13.74,Soft,58.5,5.7,Moderate,Hospital,74,Brick,High,Moderate,73.81,38566150.62,979,None,27867896581.4,0.0,27867896581.4,0.51,Likely,0.63,9.23,0.76,255
Yokohama,1839,37.0934,138.0304,21,0.22,6.25,91,High,V,10.31,Soft,46.5,5.0,Moderate,Commercial,77,Mixed,High,Moderate,55.53,25341576.08,779,Partial,10962226036.64,5481113018.32,5481113018.32,0.35,Worst case,0.64,34.12,0.5,666
Hiroshima,1786,40.764,140.3865,23,0.73,4.36,89,High,IV,16.86,Rocky,63.9,7.1,Low,Residential,36,Wood,High,Low,12.28,44815352.86,908,Partial,4997019400.74,2498509700.37,2498509700.37,0.46,Likely,0.43,17.83,0.66,590
Niigata,1803,42.4779,140.044,43,1.25,5.89,71,Low,V,32.54,Rocky,39.6,5.3,High,School,3,Wood,Medium,Moderate,21.18,3564604.91,181,None,136651980.91,0.0,136651980.91,0.7,Likely,0.6,36.8,0.52,293
Niigata,2022,38.7071,131.3315,68,0.96,6.42,54,Low,V,26.79,Stiff,11.3,5.8,High,High-rise,16,Steel,Medium,Low,5.11,15741802.31,657,Partial,528494806.41,264247403.205,264247403.205,0.82,Likely,0.93,12.5,0.46,133
Sendai,1622,30.3004,141.0577,64,4.23,5.82,69,Low,V,12.85,Rocky,56.2,7.5,Low,Residential,16,Mixed,Low,High,48.08,8805897.01,518,None,2193147396.29,0.0,2193147396.29,0.13,Likely,0.37,13.89,0.42,370
